"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
1,1,1,"B07NMJ5HK1",false,263.99,"USD",0,0,0,228,3.7,"https://www.amazon.com/dp/B07NMJ5HK1","843.60",false,false,false,false,"Sponsored Ad - Microsoft Xbox 360 20GB Console White (Renewed)","https://m.media-amazon.com/images/I/41Kw0vsMjWL._AC_UY218_.jpg"
1,2,2,"B087VM5XC6",false,0,"USD",0,0,0,4254,4.6,"https://www.amazon.com/dp/B087VM5XC6","19568.40",false,false,true,false,"Xbox Series S - 512GB SSD Console with Wireless Controller - EU Version with US Power Cable","https://m.media-amazon.com/images/I/61-x29sqlpS._AC_UY218_.jpg"
1,3,3,"B00F4CFAV8",false,50,"USD",0,0,0,131443,4.7,"https://www.amazon.com/dp/B00F4CFAV8","617782.10",false,false,false,false,"$50 Xbox Gift Card [Digital Code]","https://m.media-amazon.com/images/I/61A6rbrgjFS._AC_UY218_.jpg"
1,4,4,"B00KRT2QCY",true,248.99,"USD",604.99,356,58.84,434,4,"https://www.amazon.com/dp/B00KRT2QCY","1736.00",false,false,false,false,"Xbox 360 4GB Slim Console - (Renewed)","https://m.media-amazon.com/images/I/61oFqsoj9nL._AC_UY218_.jpg"
1,6,5,"B08GGDT47N",false,0,"USD",0,0,0,1491,4.6,"https://www.amazon.com/dp/B08GGDT47N","6858.60",false,false,false,false,"Xbox One S","https://m.media-amazon.com/images/I/61p7CnmDNlL._AC_UY218_.jpg"
1,7,6,"B0859XT328",false,0,"USD",0,0,0,50294,4.7,"https://www.amazon.com/dp/B0859XT328","236381.80",false,false,true,false,"Xbox Core Wireless Controller â€“ Pulse Red","https://m.media-amazon.com/images/I/51z1NgSEjgL._AC_UY218_.jpg"
1,8,7,"B08LRTS3WJ",true,69.99,"USD",99.99,30,30,1536,4.2,"https://www.amazon.com/dp/B08LRTS3WJ","6451.20",false,false,false,false,"Razer Kaira Wireless Gaming Headset for Xbox Series X|S, Xbox One: Triforce Titanium 50mm Drivers - Cardioid Mic - Breatha...","https://m.media-amazon.com/images/I/71XHw2S2k7L._AC_UY218_.jpg"
1,9,8,"B08DHW5RWF",false,119,"USD",0,0,0,930,4.5,"https://www.amazon.com/dp/B08DHW5RWF","4185.00",false,false,false,false,"ASTRO Gaming A20 Wireless Headset Gen 2 for Xbox Series X | S, Xbox One, PC & Mac - White /Green","https://m.media-amazon.com/images/I/61OGpwDEURL._AC_UY218_.jpg"
2,1,9,"B08PZBSBQN",false,8.99,"USD",0,0,0,44,4.7,"https://www.amazon.com/dp/B08PZBSBQN","206.80",false,false,false,false,"Sponsored Ad - 8K HDMI 2.1 Cable 10ft, PEUZAVA Ultra High Speed 48Gbps 8K60 4K120 HDMI Cord with eARC HDR 4:4:4 HDCP 2.2&...","https://m.media-amazon.com/images/I/719tlHxhltL._AC_UY218_.jpg"
2,2,10,"B09FJ2S4PF",true,69.99,"USD",89.99,20,22.22,14,2.6,"https://www.amazon.com/dp/B09FJ2S4PF","36.40",false,false,false,false,"Sponsored Ad - NASCAR 21: Ignition Champion's Edition - Day 1 - Xbox One","https://m.media-amazon.com/images/I/71bQLQwyb6L._AC_UY218_.jpg"
2,3,11,"B07GD8TN2M",false,26.99,"USD",0,0,0,15801,4.5,"https://www.amazon.com/dp/B07GD8TN2M","71104.50",false,false,true,false,"Ponkor Power Supply for Xbox One, Replacement Power Brick Adapter 100-240V Voltage AC Cord Compatible with Xbox One","https://m.media-amazon.com/images/I/617VG1+pyRL._AC_UY218_.jpg"
2,4,12,"B09FLFLFF2",false,59.99,"USD",0,0,0,21,4.4,"https://www.amazon.com/dp/B09FLFLFF2","92.40",false,false,false,false,"Call of Duty : Vanguard - Standard - Xbox [Digital Code]","https://m.media-amazon.com/images/I/61hlYx+nBVL._AC_UY218_.jpg"
2,5,13,"B08G9J44ZN",false,0,"USD",0,0,0,7986,4.8,"https://www.amazon.com/dp/B08G9J44ZN","38332.80",false,false,false,false,"Xbox Series S","https://m.media-amazon.com/images/I/71NBQ2a52CL._AC_UY218_.jpg"
2,6,14,"B08K3S6WJM",false,219.99,"USD",0,0,0,7517,4.8,"https://www.amazon.com/dp/B08K3S6WJM","36081.60",false,false,false,false,"Seagate Storage Expansion Card for Xbox Series X|S 1TB Solid State Drive - NVMe Expansion SSD for Xbox Series X|S (STJR100...","https://m.media-amazon.com/images/I/61MGrHUMWzL._AC_UY218_.jpg"
2,7,15,"B096WVGQMJ",true,29.99,"USD",59.99,30,50.01,42,4.9,"https://www.amazon.com/dp/B096WVGQMJ","205.80",false,false,true,false,"Marvel's Guardians of the Galaxy - Xbox Series X/Xbox One","https://m.media-amazon.com/images/I/81mhHOzIiSL._AC_UY218_.jpg"
2,8,16,"B098KVSF9R",true,27.99,"USD",59.99,32,53.34,76,4.3,"https://www.amazon.com/dp/B098KVSF9R","326.80",false,false,false,false,"FIFA 22 - Xbox One","https://m.media-amazon.com/images/I/61IRkFrvi0L._AC_UY218_.jpg"
2,9,17,"B08CVB3Y8B",false,29.99,"USD",0,0,0,5964,4.5,"https://www.amazon.com/dp/B08CVB3Y8B","26838.00",false,false,true,false,"Rechargeable Battery Packs for Xbox One/Xbox Series X|S, 4 X 1200mAh Xbox One Controller Battery Packs, Rechargeable Batte...","https://m.media-amazon.com/images/I/71U1dHbHmGL._AC_UY218_.jpg"
2,10,18,"B08H75RTZ8",false,0,"USD",0,0,0,10549,4.8,"https://www.amazon.com/dp/B08H75RTZ8","50635.20",false,false,false,false,"Xbox Series X","https://m.media-amazon.com/images/I/714IbXR4HuL._AC_UY218_.jpg"
1,10,19,"B0948CWTR8",false,22.99,"USD",0,0,0,47,4.5,"https://www.amazon.com/dp/B0948CWTR8","211.50",false,false,false,false,"Sponsored Ad - Cooling Fan Stand for Xbox Series S Console, MENEEA Double Cooling Fan Vertical Accessories with Type-C Inp...","https://m.media-amazon.com/images/I/71ZEzdrhHpL._AC_UY218_.jpg"
1,11,20,"B01065S79E",true,69.99,"USD",109.99,40,36.37,42512,4.8,"https://www.amazon.com/dp/B01065S79E","204057.60",false,false,true,false,"Seagate STEA2000403 Game Drive for Xbox STEA2000403-Hard 2 TB-USB 3.0-Green, 2TB","https://m.media-amazon.com/images/I/810ojt3yChL._AC_UY218_.jpg"
1,12,21,"B00YXO5U40",false,24.95,"USD",0,0,0,35024,4.4,"https://www.amazon.com/dp/B00YXO5U40","154105.60",false,false,false,false,"Turtle Beach Recon 50 Xbox Gaming Headset for Xbox Series X, Xbox Series S, Xbox One, PS5, PS4, PlayStation, Nintendo Swit...","https://m.media-amazon.com/images/I/71QpZjrteES._AC_UY218_.jpg"
1,13,22,"B09C2JSK2X",false,0,"USD",0,0,0,2284,4.6,"https://www.amazon.com/dp/B09C2JSK2X","10506.40",false,false,false,false,"Xbox Stereo Headset for Xbox Series X|S, Xbox One, and Windows 10 Devices","https://m.media-amazon.com/images/I/616DpzsmoRL._AC_UY218_.jpg"
1,14,23,"B08N6LXHHQ",false,0,"USD",0,0,0,2218,4.6,"https://www.amazon.com/dp/B08N6LXHHQ","10202.80",false,false,true,false,"2 Pack Rechargeable Controller Battery Pack for Xbox One/Xbox Series X S with 4 Battery Cover Play and Charge Kit with Mic...","https://m.media-amazon.com/images/I/71f+6nKRs1L._AC_UY218_.jpg"
1,15,24,"B08CKL9K4Z",true,39.99,"USD",59.99,20,33.34,223,4.4,"https://www.amazon.com/dp/B08CKL9K4Z","981.20",false,false,false,false,"Far Cry 6 Xbox Series X S, Xbox One Standard Edition","https://m.media-amazon.com/images/I/81EqZbPnrHL._AC_UY218_.jpg"
1,16,25,"B01LPNKGGI",false,73.95,"USD",0,0,0,7690,4.5,"https://www.amazon.com/dp/B01LPNKGGI","34605.00",false,false,true,false,"Microsoft 4N6-00001 Xbox Controller + Cable for Windows, Black","https://m.media-amazon.com/images/I/61iMG1ddWZL._AC_UY218_.jpg"
1,17,26,"B01GW3H3U8",false,0,"USD",0,0,0,27555,4.6,"https://www.amazon.com/dp/B01GW3H3U8","126753.00",false,false,false,false,"Xbox Wireless Controller - White","https://m.media-amazon.com/images/I/71WX6wVepIL._AC_UY218_.jpg"
1,18,27,"B07VQ8Q3L4",true,134.99,"USD",149.99,15,10,22994,4.8,"https://www.amazon.com/dp/B07VQ8Q3L4","110371.20",false,false,false,false,"WD_BLACK 5TB P10 Game Drive for Xbox - Portable External Hard Drive HDD with 1-Month Xbox Game Pass - WDBA5G0050BBK-WESN","https://m.media-amazon.com/images/I/81b2nMLi94L._AC_UY218_.jpg"
1,19,28,"B074RNL1RX",true,99.99,"USD",159.99,60,37.5,6241,4.5,"https://www.amazon.com/dp/B074RNL1RX","28084.50",false,false,false,false,"Razer Wolverine Ultimate Officially Licensed Xbox One Controller: 6 Remappable Buttons and Triggers - Interchangeable Thum...","https://m.media-amazon.com/images/I/81kKfnnHeuL._AC_UY218_.jpg"
1,20,29,"B08PZBSBQN",false,8.99,"USD",0,0,0,44,4.7,"https://www.amazon.com/dp/B08PZBSBQN","206.80",false,false,false,false,"Sponsored Ad - 8K HDMI 2.1 Cable 10ft, PEUZAVA Ultra High Speed 48Gbps 8K60 4K120 HDMI Cord with eARC HDR 4:4:4 HDCP 2.2&...","https://m.media-amazon.com/images/I/719tlHxhltL._AC_UY218_.jpg"
1,21,30,"B09FJ2S4PF",true,69.99,"USD",89.99,20,22.22,14,2.6,"https://www.amazon.com/dp/B09FJ2S4PF","36.40",false,false,false,false,"Sponsored Ad - NASCAR 21: Ignition Champion's Edition - Day 1 - Xbox One","https://m.media-amazon.com/images/I/71bQLQwyb6L._AC_UY218_.jpg"
1,22,31,"B08TC24DMH",false,8.99,"USD",0,0,0,22,4.8,"https://www.amazon.com/dp/B08TC24DMH","105.60",false,false,false,false,"Sponsored Ad - HETSEN Cat 8 Ethernet Cable 10ft Shielded, 40Gbps High Speed 26AWG, 2000Mhz SFTP Patch Cord with Gold Plate...","https://m.media-amazon.com/images/I/51tuVaQ6taL._AC_UY218_.jpg"
2,11,32,"B0925BGLWS",true,27.49,"USD",39.99,12.5,31.26,23,3.9,"https://www.amazon.com/dp/B0925BGLWS","89.70",false,false,false,false,"Sponsored Ad - Paladone Xbox Achievement Light - Officially Licensed Merchandise","https://m.media-amazon.com/images/I/61Tvu989gKL._AC_UY218_.jpg"
2,12,33,"B08CKL9K4Z",true,39.99,"USD",59.99,20,33.34,223,4.4,"https://www.amazon.com/dp/B08CKL9K4Z","981.20",false,false,false,false,"Sponsored Ad - Far Cry 6 Xbox Series X S, Xbox One Standard Edition","https://m.media-amazon.com/images/I/81EqZbPnrHL._AC_UY218_.jpg"
2,13,34,"B07TGNFVWV",true,37.99,"USD",44.99,7,15.56,19871,4.8,"https://www.amazon.com/dp/B07TGNFVWV","95380.80",false,false,false,false,"Xbox Game Pass Ultimate: 3 Month Membership [Digital Code]","https://m.media-amazon.com/images/I/710tXFnInpL._AC_UY218_.jpg"
2,14,35,"B08D44WKC4",false,99.95,"USD",0,0,0,19251,4.5,"https://www.amazon.com/dp/B08D44WKC4","86629.50",false,false,false,false,"Turtle Beach Stealth 600 Gen 2 Wireless Gaming Headset for Xbox Series X & Xbox Series S, Xbox One & Windows 10 PCs with 5...","https://m.media-amazon.com/images/I/81KCsmoRp+L._AC_UY218_.jpg"
2,15,36,"B00F4CF39C",false,25,"USD",0,0,0,131443,4.7,"https://www.amazon.com/dp/B00F4CF39C","617782.10",false,false,false,false,"$25 Xbox Gift Card [Digital Code]","https://m.media-amazon.com/images/I/61bgm0-dJoS._AC_UY218_.jpg"
2,16,37,"B097VYRPQW",true,34.99,"USD",59.99,25,41.67,62,4.7,"https://www.amazon.com/dp/B097VYRPQW","291.40",false,false,false,false,"Demon Slayer: The Hinokami Chronicles - Xbox Series X","https://m.media-amazon.com/images/I/81wSYaUuhaL._AC_UY218_.jpg"
2,17,38,"B00F4CFHFC",false,100,"USD",0,0,0,131443,4.7,"https://www.amazon.com/dp/B00F4CFHFC","617782.10",false,false,false,false,"$100 Xbox Gift Card [Digital Code]","https://m.media-amazon.com/images/I/61xuY+iDSfS._AC_UY218_.jpg"
2,18,39,"B0973KCGPK",true,29.99,"USD",49.99,20,40.01,5,5,"https://www.amazon.com/dp/B0973KCGPK","25.00",false,false,false,false,"Just Dance 2022 - Xbox Series X, Xbox One","https://m.media-amazon.com/images/I/81yyRDtCHmL._AC_UY218_.jpg"
2,19,40,"B098Y92BLD",true,29.99,"USD",59.99,30,50.01,300,4.8,"https://www.amazon.com/dp/B098Y92BLD","1440.00",false,false,true,false,"NBA 2K22 - Xbox One","https://m.media-amazon.com/images/I/81-UyihCc8L._AC_UY218_.jpg"
2,20,41,"B095JNZGC4",true,39.88,"USD",44.99,5.11,11.36,916,4.5,"https://www.amazon.com/dp/B095JNZGC4","4122.00",false,false,false,false,"PowerA Spectra Infinity Enhanced Wired Controller for Xbox Series X|S, Gamepad, Wired Video Game Controller, Gaming Contro...","https://m.media-amazon.com/images/I/710YJoU9evS._AC_UY218_.jpg"
2,22,43,"B0948CWTR8",false,22.99,"USD",0,0,0,47,4.5,"https://www.amazon.com/dp/B0948CWTR8","211.50",false,false,false,false,"Sponsored Ad - Cooling Fan Stand for Xbox Series S Console, MENEEA Double Cooling Fan Vertical Accessories with Type-C Inp...","https://m.media-amazon.com/images/I/71ZEzdrhHpL._AC_UY218_.jpg"